40.95896	48.55136	4.21434
41.68089	50.06364	4.51831
41.4224	48.32159	4.55718
38.84704	49.04795	4.32069
36.65545	43.25568	3.86697
35.62867	45.44341	4.12778
26.8406	36.20841	3.07049
32.81043	36.41886	3.80842
28.20188	23.8825	2.65316
39.60385	45.23909	3.99845
38.16665	37.15432	3.64919
41.31166	47.51182	3.90163
44.85627	51.43455	4.18052
43.72234	49.11318	4.30992
42.62534	48.00295	4.22985
42.69785	48.53932	4.49045
36.15219	39.07591	3.61439
27.29362	40.42273	2.87699
39.90035	44.31795	3.79887
37.74528	37.26773	4.11849
32.61915	40.75909	4.74017
36.70532	29.40955	2.46941
44.46979	42.54364	4.1552
49.15031	47.45045	4.74433
46.36551	47.70795	4.48218
50.24613	51.49136	4.80649
42.11089	45.74568	4.06928
46.37901	47.54341	4.31966
44.64203	47.92659	3.87168
44.18116	44.34341	4.0197
47.68064	46.64136	3.9307
51.23184	46.985	3.70345
46.64963	45.05341	3.68078
49.38193	42.33386	4.01299
53.28354	46.42841	4.21641
55.89596	51.36727	4.39035
61.74422	53.83568	4.69826
59.82963	54.91523	4.65102
57.32039	52.42864	4.21534
55.16232	52.95182	4.42418
50.05752	46.37136	3.86617
48.52969	49.03295	3.49759
44.49489	47.37114	3.01309
48.30735	44.05068	3.73393
47.31383	47.80932	3.67661
44.81714	44.40955	3.7853
51.3818	48.92386	3.88806
54.80306	51.56295	4.54191
53.97364	51.89182	4.6735
52.90681	54.07432	4.74698
51.33079	53.0075	4.48937
53.5524	53.07864	4.8199
48.23698	47.18318	4.51206
53.3981	51.38773	4.64816
48.19507	44.42932	3.83114
39.19495	31.16	3.79918
28.92454	28.63455	2.67337
45.02027	43.17545	4.01324
55.35356	55.02068	4.47854
57.5483	58.59364	4.95422
56.19586	60.13636	5.09261
54.1266	55.34727	5.06078
53.59692	55.10477	4.69788
50.72155	54.75295	4.30194
47.4571	53.10795	3.95183
44.29388	44.34214	6.20994
48.37526	50.59273	4.26974
51.79068	54.04136	4.07581
46.94822	53.37182	5.54575
45.32205	41.13046	3.89933
50.12957	53.30159	4.93838
58.78308	59.91568	5.18647
54.59375	58.39136	5.28507
55.0748	59.16227	5.01137
53.88176	55.43295	5.21238
51.00768	53.69795	4.87958
52.68948	54.55114	4.75695
53.02644	51.29205	5.00965
48.18822	51.75682	4.24689
51.66234	51.58455	3.66925
53.12555	51.8025	4.54902
48.55443	40.04273	3.73819
54.20847	50.30977	4.25489
61.46723	56.34636	4.67882
